NAME,DEPARTMENT,AREA OF SPECIALIZATION,Additional Role
Dr. Parvinder Kaur,ECE,"Soft Computing, Signal Processing, Nature Inspired Computing, Optimization Algorithms",Head Clubs and Reappear coordinator
Dr. Shilpa Jindal,ECE,"Communication Engineering, Optical Engineering.","Regular Result In-charge, Sessionals In-charge, Stock Register In-charge, Departmental GEM coordinator."
Dr. Dinesh Sharma,ECE,Wireless Communication and Antenna Design.,"Coordinator Training and Placement Cell, Coordinator IPD and Coordinator ECE technical club"
Dr. Irfan Ahmad Khan,ECE,"Digital systems, Power Electronics & Renewable Energy Conversion System","Faculty incharge ECE 4th year, In-charge IEEE student chapter, Faculty incharge Internal Quality Assurance Cell(ECE) and Faculty incharge stakeholders interaction (ECE)."
Dr. Sarita Sharma,ECE,"Microwave Devices and Circuits, Remote Sensing","Deptt. industrial training coordinator, Deptt. summer training coordinator, Deptt. prospectus incharge, Deptt. T&P coordinator"
Hardeep Saini,ECE,Digital Image Processing,"Faculty incharge ECE 3rd year, Deptt. time-table incharge, Deptt. computational incharge, Deptt. furniture incharge and Deptt. website incharge."
Dr. Anil Kumar Vaghmare,ECE,"Signal processing, Speech processing and VLSI","Assistant hostel warden, Incharge EPBAX system, Incharge Solar power system, Incharge Lifts, Incharge Electrical services, Deptt. library incharge and Deptt. store incharge"
Dr. Rajesh Kumar,CIVIL,"Structural Engineering (Structure Analysis & Design, SCC and RAC","President, Students Council (PSC)"
Dr. Aradhana Mehta,CIVIL,Structural Engineering (Box girder Bridges & Concrete),Academic Coordinator
Mohammad Sakib Perwez Khan,CIVIL,"Structural Engineering, Bridge Engineering, Computer Aided Design",E-Akadamik Departmental Representative
Poonam,CIVIL,"Structural Engineering (Seismic-Resistant Design of Structures, Repair and Retrofitting of Structures, Sustainable Development)",Incharge: Public Health
Anil Kumar,CIVIL,"Structural Engineering (Blast- and Earthquake-Resistant Structures, Structural Vibration Control, Smart Structures, Uncertainty Quantification and Reliability in Civil Engineering)","Incharge Estate, Incharge Building, Incharge NBA (Civil)"
Karuna Sharma,CIVIL,"Highway Engineering, Capacity Builing and Pavement design","I/C result regular n reappear,I/C transportation lab, foundation engg lab, geotechnical lab.member IIC of Ccet wing, I/ C concrete construction works India skills 2020,I/C 2019 batch"
Arfat Ahmed,CIVIL,"FEM programming, Environmental Engineering domain.",Member IQAC Cell
Dr. Varun Gupta,Applied Sciences,"Deep learning, Machine learning and Software Engineering.","HOD Applied Sciences, Professor Incharge Admissions, Incharge Institute Publication Cell."
Dr. Parul Aggarwal,Applied Sciences,Fluid Dynamics.,"oint Sessional I/c, Guest Faculty I/c (Applied Science Department), Library I/c (Applied Science Department)"
Dr. Manveen Kaur,Applied Sciences,"Engineering Physics, nanomaterials",I/c Physics Lab
Ms. Neha,Applied Sciences,Organic chemistry.,"I/c attendance (Applied Science Department), I/c computational (Applied Science Department), class I/c CSE (2nd sem), I/c Chemistry Lab"
